page_title,revision_id,quality_score
Yacine_Oualid,1214837789,Stub
Cherif_Rahmani,1053461144,Stub
Lakhdar_Rakhroukh,1186317568,Stub
Laid_Rebiga,1248662394,Stub
Kamel_Rezig,1215901775,Stub
Salim_Saadi,1229426851,Stub
Abdelhak_Saihi,1218004839,Stub
Hichem_Sofiane_Salaouatchi,1212186286,Stub
Naima_Salhi,1213404244,Stub
Abderezak_Sebgag,1212579707,Stub
Abderrachid_Tabbi,1218530483,Stub
Karim_Bibi_Triki,1213794210,Start
Layachi_Yaker,1226060720,Start
Ahmed_Zeghdar,1213778323,Stub
Adão_Francisco_Correia_de_Almeida,1209524394,Stub
Ana_Paula_Chantre_Luna_de_Carvalho,1209514022,Stub
Alexandre_Sebastião_André,1172178750,Stub
Paulino_Baptista,1242307496,Start
Bernarda_Gonçalves_Martins,1210193481,Stub
João_Baptista_Borges,1227794006,C
Carolina_Cerqueira,1241977204,C
Arlete_Chimbinda,1177486404,Start
Kafundanga_Chingunji,1191431794,Stub
Jeremias_Chitunda,1220287872,Start
Abel_Chivukuvuku,1165626565,Start
Fiel_Domingos_Constantino,1217387083,Stub
Adalberto_Costa_Júnior,1244123151,Stub
Adjany_Costa,1242000475,Start
Álvaro_Arnaldo_Craveiro,1194150567,Stub
Raul_Danda,1158035855,Stub
Diamantino_Pedro_Azevedo,1209522689,Stub
Faustina_Fernandes_Inglês_de_Almeida_Alves,1251032908,Stub
Abraão_Gourgel,1124441544,Stub
Jofre_Van-Dúnem_Júnior,1242307432,Stub
José_Carvalho_da_Rocha,1242307441,Stub
José_Luis_de_Matos,1242307337,Stub
Kambamba_Kulaxingo,1093124425,Stub
Jesus_Faria_Maiato,1209631313,Stub
Manuel_Neto_da_Costa,1209411144,Stub
Manuel_Tavares_de_Almeida,1209411217,Stub
Marcos_Alexandre_Nhunga,1209413818,Stub
Maria_Cândida_Pereira_Teixeira,1218506469,Stub
Maria_do_Rosário_Teixeira_de_Alva_Sequeira_Bragança_Sambo,1209513699,Stub
David_Mendes,1024544204,Stub
Saíde_Mingas,1251004422,GA
Fernando_Faustino_Muteka,1241977176,Stub
Pedro_Mutinde,1209539718,Start
José_Ndele,1154991360,Stub
Ana_Paula_Sacramento_Neto,1227909121,Stub
Daniel_Ntongi-Nzinga,1187961349,Stub
Paula_Cristina_Francisco_Coelho,1209410923,Stub
Pedro_Pedalé,1115715527,Stub
Elias_Salupeto_Pena,1220287990,Start
Johnny_Eduardo_Pinnock,1242307359,Stub
Santana_André_Pitra,1165626399,Stub
Francisco_Manuel_Monteiro_de_Queiróz,1250824530,Stub
José_Aníbal_Lopes_Rocha,1242307479,Stub
José_da_Rocha,1153488959,Stub
Rosa_Luís_de_Sousa_Micolo,1246271741,Stub
Luís_Gomes_Sambo,1242306989,Start
Branca_Manuel_Espirito_Santo,1142474441,Stub
João_Ernesto_dos_Santos,1226309621,Stub
José_Filomeno_dos_Santos,1228399791,C
Jonas_Savimbi,1246026420,GA
Pinda_Simão,1118804168,Stub
Manuel_Bernardo_de_Sousa,1233607984,Stub
Augusto_da_Silva_Tomás,1219179734,Stub
José_Jacinto_Van-Dúnem,1242841039,C
José_Vieira_Dias_Van-Dúnem,1227004140,Stub
Luzia_Inglês_Van-Dúnem,1240720719,Start
Manuel_Vicente,1250493481,C
Mfulupinga_Nlando_Victor,1243272129,Start
Clement_Antonio,1241563106,Stub
Randolph_Beazer,1247631912,Stub
Studiation_Brown,825090349,Stub
Alex_Browne_(politician),1247631794,Stub
Colin_O'Neil_Browne,1241563118,Stub
James_Carlisle,1242152285,C
Gail_Christian,1241563122,Start
Mackenzie_Frank,1247632329,Stub
Osbert_Richard_Frederick,1241563130,Start
Caleb_Gardiner,1241563135,Stub
Shenella_Mary_Shadida_Govia,1241563138,Stub
William_Haynes-Smith,1250666577,C
Tim_Hector,1227026341,C
Cheryl_Mary_Clare_Hurst,1242813942,Stub
Wilfred_Jacobs,1246340247,Stub
Rick_James_(actor),1213836084,C
Kiz_Johnson,1247632301,Stub
Fabian_Jones,1247632282,Stub
Johnathan_Joseph_(politician),1241563151,Stub
Kelvin_Simon,1241592202,Start
Harold_Lovell,1241564680,Start
Edmond_Mansoor,1248648606,Start
David_Massiah,1247632248,Stub
Joanne_Massiah,1241592526,Stub
Dwayne_George,1247631631,Stub
Knacyntar_Nedd,1247514093,Stub
Melford_Nicholas,1241592535,Start
Shawn_Nicholas,1247632364,Stub
Bernard_Percival,1241564686,Stub
Jamale_Pringle,1241592215,Stub
Philip_Shoul,1247632342,Stub
Rawdon_Turner,1247632346,Stub
Alincia_Williams-Grant,1241592542,Start
Juan_Alemann,1227499891,Stub
Germán_Alfaro,1223272051,C
Joaquín_Samuel_de_Anchorena,1227458965,Start
Juan_Agustín_Augier,1217815148,Stub
Uladislao_Augier,1217815124,Stub
Marco_Aurelio_Avellaneda,1233010330,Start
Joaquín_Belgrano,1229623675,Start
Antonio_Bermejo,1225811362,Start
Antonio_Beruti,1243926512,Start
Héctor_Bidonde,1250713562,Start
Silvano_Bores,1225775647,Stub
Exequiel_Bustillo,1188044851,Start
Mario_Cafiero,1135193654,Stub
Alberto_Manuel_Campos,1166331326,Start
Alejo_Castex,1231276700,C
Dámaso_Centeno,1245130520,Stub
Rossana_Chahla,1227517224,C
Lázaro_Chiappe,1232135530,Stub
Carlos_Corach,1227620960,Stub
Jorge_Coscia,1227459720,Stub
Carlos_de_la_Rosa,1209668330,Stub
Juan_Carlos_Del_Bello,1225784914,Stub
Luis_L._Domínguez,1234469779,C
Máximo_Etchecopar,1243279888,Start
Héctor_Toty_Flores,1067754685,Stub
Guillermo_Francos,1245178482,Start
Juan_Fugl,1148828249,Stub
Santiago_Gallo,1039135531,Start
Manuel_José_García,1227616001,Stub
Juan_José_Gómez_Centurión,1225793565,Stub
Luis_Carlos_Gómez_Centurión,1225793589,Stub
Martín_Guzmán,1227515965,C
Federico_Helguera,1162056054,Start
Fernando_Iglesias_(Argentine_politician),1217866134,C
Ricardo_Kennedy,1240898573,Stub
Carlos_Kunkel,1225799546,Stub
Norberto_La_Porta,1225799869,Stub
Andrés_Larroque,1248572448,Start
Julián_de_Leyva,1234698824,Stub
Mónica_López_(politician),797826672,Stub
Lucio_Victorio_Mansilla,1210433646,Start
Nicolás_Massot,1222899462,Start
Martín_Menem,1247590161,Start
Juan_Mignaburu,1166892817,Stub
Guillermo_Montenegro,1096175549,Stub
Mariano_Moreno,1248788227,FA
Marcelo_Muniagurria,1242262794,Start
Fernando_Nadra,1238199017,C
Rómulo_Sebastián_Naón,1193099129,Start
Santiago_G._O'Farrell,1228141029,Start
Alfredo_Olmedo,1226445117,Stub
Miguel_Ángel_Pesce,1211044406,Start
Carlos_Petroni,1199679676,C
Alejo_Peyret,1138003698,B
Aldo_Pignanelli,1106856167,Stub
Abel_Posse,1245068036,C
Enrique_S._Quintana,1016343362,Start
Amán_Rawson,1226040049,Start
Martín_Sabbatella,1166890663,C
Juan_Pablo_Schiavi,1195011460,C
Héctor_Tizón,1222501416,Start
Claudio_Uberti,1245464700,C
Arístides_Villanueva,1227361697,Start
Jorge_Yoma,1191859791,C
Ashot_Arsenyan,1218601969,C
Vigen_Chitechyan,1124301399,Stub
Hayk_Chobanyan,1231768992,Start
Gurgen_Egiazaryan,1103745376,Start
Parunak_Ferukhan,1214660598,Stub
Gevorg_Ghazaryan_(politician),1180063729,Stub
Andrias_Ghukasyan,1214660728,Start
Aram_Grigoryan_(politician),1214660921,Start
Vahagn_Hovakimyan,1224369324,Start
Tigran_Karapetyan,1231946069,Start
Tigran_Khzmalyan,1237979345,C
Mikayel_Kotanyan,1226313476,Start
Hrant_Maloyan,1250311867,C
Khachatur_Malumian,1210493386,C
Aram_Manukyan,1214661551,Start
Gevorg_Melik-Karagyozyan,1180063778,Stub
Vahan_Minakhoryan,1214661649,Stub
Ruben_Miroyan,1228290809,Start
Ruben_Mirzakhanyan,1214661775,Start
Badal_Muradyan,1214662146,Start
Narine_Tukhikyan,1233470777,Start
Gabriel_Noradoungian,1240224564,C
Israel_Ori,1214986895,Start
Paul_Paul,1215924661,Start
Garo_Paylan,1249622641,C
Genrikh_Poghosyan,1214662694,Start
Ishkhan_Saghatelyan,1243510830,GA
Karen_Sargsyan_(sociologist),1217803359,Start
Martiros_Sarukhanyan,1214669503,Stub
Vartkes_Serengülian,1214669611,Start
Suren_Shadunts,1242146414,Start
Ohannes_Tchekidjian,1215201883,Start
Hrayr_Tovmasyan,1243511026,Stub
Usub_Bek_Temuryan,1243494457,Stub
Kegham_Vanigian,1214670011,Start
Serop_Zakaryan,1222543352,Stub
Alfons_Adam,1244617588,Start
Ingo_Appelt,1244447844,Stub
"Maximilian_Anton_Karl,_Count_Baillet_de_Latour",1226152632,Start
Heinrich_Alfred_Barb,1214670404,Start
Leopold_Berchtold,1228353209,C
Joseph_Buttinger,1214670744,Start
Prince_Carl_of_Solms-Braunfels,1237091760,C
Count_Václav_Antonín_Chotek_of_Chotkov_and_Vojnín,1214682376,Start
Citizens'_Ministry,1200893975,C
Richard_von_Coudenhove-Kalergi,1243336388,C
Franz_Dinghofer,1251039794,GA
George_Abraham_von_Dyhrn,1231555745,Stub
Eduard_von_Grebmer_zu_Wolfsthurn,1216075327,Start
Hans_Ferlitsch,1240489075,Stub
Friedhelm_Frischenschlager,1223497595,Start
Walter_Guggenberger,1154443829,Start
Ulrich_Habsburg-Lothringen,1216088776,Start
