name,url,country,page_title,Geography,Population,region,revision_id,quality_score
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Mohammed_Tahir_Omar,Afghanistan,42.4,SOUTH ASIA,1185088733.0,Stub
Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,Mohammed_Qalamuddin,Afghanistan,42.4,SOUTH ASIA,1178097642.0,Stub
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Ghulam_Mohammad_Rigi,Afghanistan,42.4,SOUTH ASIA,1129192917.0,Stub
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Ghulam_Hassan_Safi,Afghanistan,42.4,SOUTH ASIA,1176507815.0,Stub
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Hanifa_Safi,Afghanistan,42.4,SOUTH ASIA,1123824802.0,Stub
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Mohammed_Zia_Salehi,Afghanistan,42.4,SOUTH ASIA,1225457074.0,Stub
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Abdul_Majid_Samim,Afghanistan,42.4,SOUTH ASIA,1225425205.0,Stub
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Saber_Sangar,Afghanistan,42.4,SOUTH ASIA,1227951669.0,Stub
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Sayed_Nasim_Mihanparast,Afghanistan,42.4,SOUTH ASIA,1172646418.0,Stub
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Suhail_Shaheen,Afghanistan,42.4,SOUTH ASIA,1198363158.0,Start
Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,Fazal_Hadi_Shinwari,Afghanistan,42.4,SOUTH ASIA,1242412237.0,GA
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Baktash_Siawash,Afghanistan,42.4,SOUTH ASIA,1250972393.0,Stub
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Hasan_Ali_Sultani,Afghanistan,42.4,SOUTH ASIA,1136614726.0,Stub
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Mohammad_Hashem_Taufiqui,Afghanistan,42.4,SOUTH ASIA,1233490009.0,Start
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Pacha_Gul_Wafadar,Afghanistan,42.4,SOUTH ASIA,1227179979.0,Stub
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,Wahidullah_Waissi,Afghanistan,42.4,SOUTH ASIA,1232389768.0,C
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,Ahmadullah_Wasiq,Afghanistan,42.4,SOUTH ASIA,1171042170.0,Start
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Gul_Ahmmad_Yama,Afghanistan,42.4,SOUTH ASIA,1136614561.0,Start
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,Abdul_Salam_Zaeef,Afghanistan,42.4,SOUTH ASIA,1243758857.0,GA
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Abdul_Zahir_(Konar_Education_Minister),Afghanistan,42.4,SOUTH ASIA,1126667481.0,Stub
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Mohammed_Zaman,Afghanistan,42.4,SOUTH ASIA,1229734414.0,Start
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Ziauddin_(Afghan_militia_leader),Afghanistan,42.4,SOUTH ASIA,1150044800.0,Start
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Qari_Ziauddin,Afghanistan,42.4,SOUTH ASIA,1245217124.0,Start
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Abdul_Ghafor_Zori,Afghanistan,42.4,SOUTH ASIA,1136614520.0,Stub
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,Ali_Pasha_of_Gusinje,Albania,2.7,SOUTHERN EUROPE,1244421894.0,GA
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Ylli_Asllani,Albania,2.7,SOUTHERN EUROPE,1221605713.0,Start
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Azis_Tahir_Ajdonati,Albania,2.7,SOUTHERN EUROPE,1192928746.0,Stub
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,Bislim_Bajgora,Albania,2.7,SOUTHERN EUROPE,1217284690.0,C
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Kastriot_Berissa,Albania,2.7,SOUTHERN EUROPE,1244463139.0,Start
